calories,distance,duration,start_time,end_time,steps,avg_pace,data_training
524,7076,2411,09:05:08,09:45:20,5682,0.34,2023-04-16
566,7113,2432,18:21:54,19:02:27,5829,0.34,2023-04-16
510,7001,3648,16:10:51,16:52:05,5476,0.52,2023-04-17
286,4033,1299,08:48:44,09:11:26,3224,0.32,2023-04-19
500,6915,2294,17:27:49,18:06:35,5809,0.33,2023-04-19
526,7159,2339,08:39:34,09:18:34,5937,0.33,2023-04-20
496,6504,2172,18:03:26,18:44:30,5482,0.33,2023-04-20
521,7139,2321,08:34:02,09:13:08,5980,0.33,2023-04-21
533,7148,2375,08:15:14,08:54:52,5991,0.33,2023-04-22
560,7097,2252,08:06:56,08:44:36,5636,0.32,2023-04-23
267,3628,1204,15:15:38,15:38:03,3053,0.33,2023-04-23
487,6332,2239,08:27:52,09:05:11,5652,0.35,2023-04-24
511,7186,2308,20:21:06,20:59:33,6119,0.32,2023-04-24
542,7146,2386,08:03:38,08:43:24,6344,0.33,2023-04-26
538,7169,2372,19:17:24,19:57:31,6085,0.33,2023-04-26
423,7181,2678,20:41:11,21:25:50,6847,0.37,2023-04-27
523,6900,2446,15:37:12,16:22:48,6374,0.35,2023-04-30
402,4828,1754,19:55:00,20:24:14,4567,0.36,2023-04-30
577,7200,3549,13:50:06,14:52:16,7148,0.49,2023-05-03
582,7159,2427,11:57:59,12:38:51,6155,0.34,2023-05-09
515,7168,2367,20:29:30,21:09:00,6248,0.33,2023-05-11
528,7158,2252,11:04:33,11:42:05,5965,0.31,2023-05-13
521,7141,2196,09:38:54,10:15:30,5912,0.31,2023-05-14
516,7148,2172,18:31:19,19:07:30,5775,0.3,2023-05-14
516,7130,2182,15:38:30,16:14:56,5854,0.31,2023-05-15
266,3824,1222,20:20:50,20:41:12,3171,0.32,2023-05-15
516,7133,2134,21:15:55,21:51:29,5666,0.3,2023-05-16
320,4435,1423,08:23:44,08:47:27,3795,0.32,2023-05-17
494,7164,2129,19:53:16,20:28:45,5618,0.3,2023-05-17
495,7162,2164,08:26:54,09:02:58,5892,0.3,2023-05-20
674,10023,2951,19:25:25,20:14:36,8101,0.29,2023-05-21
669,9031,3032,10:09:32,11:00:44,7907,0.34,2023-05-22
681,10016,2994,20:46:19,21:36:14,8330,0.3,2023-05-22
222,3255,1026,21:00:18,21:17:24,2779,0.32,2023-05-23
672,10021,2898,19:35:34,20:23:52,8213,0.29,2023-05-24
